,Self_Reported_Stress_Level,Final_Grade,Gender_Male,Gender_Other,Preferred_Learning_Style_Kinesthetic,Preferred_Learning_Style_Reading/Writing,Preferred_Learning_Style_Visual,Use_of_Educational_Tech_Yes,Participation_in_Discussions_Yes,Age,Study_Hours_per_Week,Online_Courses_Completed,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night
0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,18.0,48.0,14.0,100.0,69.0,66.0,9.0,8.0
1,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,29.0,30.0,20.0,71.0,40.0,57.0,28.0,8.0
2,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,47.0,11.0,60.0,43.0,79.0,13.0,7.0
3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0,13.0,0.0,63.0,70.0,60.0,24.0,10.0
4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,24.0,19.0,59.0,63.0,93.0,26.0,8.0
5,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.0,26.0,5.0,63.0,54.0,80.0,25.0,8.0
6,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,19.0,49.0,13.0,91.0,44.0,66.0,30.0,10.0
7,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,27.0,14.0,5.0,88.0,56.0,76.0,4.0,6.0
8,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,45.0,16.0,52.0,78.0,70.0,26.0,9.0
9,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,35.0,7.0,100.0,55.0,100.0,5.0,9.0
10,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,40.0,20.0,74.0,44.0,93.0,15.0,10.0
11,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,23.0,14.0,18.0,77.0,56.0,74.0,9.0,6.0
12,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,23.0,24.0,4.0,67.0,73.0,93.0,28.0,7.0
13,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,27.0,44.0,20.0,80.0,60.0,51.0,27.0,6.0
